"Cantidad","tiempo_de_espera"
2,3.71976217672389
4,7.88491125525836
4,8.77935415707456
2,4.03525419571229
2,4.06464386758047
5,10.8575324934416
3,6.2304581029946
4,7.36746938269673
5,9.65657357405324
5,9.77716901495002
5,10.6120408987197
2,4.17990691352868
2,4.20038572529703
5,10.0553413579726
2,3.72207943262296
3,6.89345656840154
1,2.24892523911462
2,3.01669142168518
5,10.3506779507818
4,7.76360429613603
NA,5.53521981140377
4,7.89101254267085
3,5.48699777584638
2,3.63555438535443
5,9.68748036607537
3,5.15665334462879
5,10.4188935222473
4,8.07668655891826
5,9.43093153149403
4,8.62690746053496
5,10.2132321107384
2,3.85246425850386
4,8.44756283052251
5,10.4390667437665
5,10.4107905408187
2,4.34432012705005
1,2.27695882676879
4,7.96904414471164
2,3.84701866813004
4,7.80976449949381
4,7.65264651053974
3,5.8960413609902
4,7.36730182421587
2,5.08447798266926
4,8.6039809991525
2,3.43844570839833
3,5.79855758235046
4,7.76667232318839
5,10.3899825591682
5,9.95831546676409
5,10.1266592569974
3,5.98572662232565
5,9.97856477135434
5,10.6843011420072
5,9.88711450717037
3,6.75823530221477
5,9.22562359788489
NA,6.36143853921523
5,10.0619271219223
NA,6.17710244876918
4,8.18981974137994
5,9.74883827344535
1,1.83339630816529
1,1.49071230844646
1,1.46410438676221
3,6.15176432070213
4,8.22410488931471
3,6.02650211336525
NA,6.53026539833706
1,3.02504234281357
5,9.75448441697173
2,2.84541556217959
5,10.5028692622311
2,3.6453996187088
2,3.65599569176632
1,2.51278568484835
2,3.8576134964745
2,3.38964114387273
1,2.09065173987458
4,7.93055431878048
1,2.00288209294994
5,10.1926402005632
4,7.8146699841038
2,4.32218827425942
2,3.88975671909062
2,4.16589098195785
3,6.54841950657467
4,8.2175907454169
3,5.83703420723439
5,10.5744038092255
5,10.4967519279811
1,2.27419847975403
5,10.1193658675557
2,3.68604696198031
5,10.680326224265
5,9.69987020642644
3,7.09366649650829
3,6.76630531309259
5,9.88214982044976
3,5.48678954984661
5,9.64479671815035
4,8.12844185457826
4,7.87665406076881
4,7.82622870030113
5,9.52419071636749
3,5.97748613759554
2,3.60754776527146
4,7.16602903170593
2,3.80988673985612
4,8.45949830453038
3,5.7123265186958
3,6.30398216111252
5,9.19105864585542
4,7.97221901723773
1,2.25970360197173
2,4.15057668108336
5,10.0528380970745
3,5.67964699584731
5,9.57514782698321
2,3.48793560469754
3,6.05882329855006
NA,5.59539435730479
5,9.75472127814967
2,3.87195390390088
2,4.9219310026161
